partition,score_bucket,count
approved_core,0.9-1.0,234
qa_explanations,0.7-0.8,2
qa_explanations,0.8-0.9,311
qa_explanations,0.9-1.0,6890
benchmark_case_qa,0.8-0.9,200
qa_quarantine,0.0-0.1,1
qa_quarantine,0.1-0.2,8
qa_quarantine,0.2-0.3,7
qa_quarantine,0.3-0.4,122
qa_quarantine,0.5-0.6,32
qa_quarantine,0.6-0.7,17
qa_quarantine,0.7-0.8,1611
low_trust_synthetic_reasoning,0.0-0.1,16
low_trust_synthetic_reasoning,0.1-0.2,12
low_trust_synthetic_reasoning,0.2-0.3,16
low_trust_synthetic_reasoning,0.3-0.4,8
low_trust_synthetic_reasoning,0.4-0.5,39
low_trust_synthetic_reasoning,0.5-0.6,22
low_trust_synthetic_reasoning,0.6-0.7,65
low_trust_synthetic_reasoning,0.7-0.8,83
low_trust_synthetic_reasoning,0.8-0.9,40
low_trust_synthetic_reasoning,0.9-1.0,126
