partition,topic,count
approved_core,日主,101
approved_core,十神,100
approved_core,五行,34
approved_core,滴天髓,27
approved_core,地支,25
approved_core,甲,24
approved_core,丙,24
approved_core,戊,24
approved_core,庚,24
approved_core,壬,24
approved_core,月建,24
approved_core,阴阳,23
approved_core,乙,22
approved_core,丁,22
approved_core,己,22
approved_core,辛,22
approved_core,癸,22
approved_core,天干,20
approved_core,藏干,12
approved_core,节气,12
approved_core,月柱,12
approved_core,相合,11
approved_core,化气候选,11
approved_core,比肩,10
approved_core,劫财,10
approved_core,食神,10
approved_core,伤官,10
approved_core,偏财,10
approved_core,正财,10
approved_core,七杀,10
approved_core,正官,10
approved_core,偏印,10
approved_core,正印,10
approved_core,子,8
approved_core,丑,8
approved_core,寅,8
approved_core,卯,8
approved_core,辰,8
approved_core,巳,8
approved_core,午,8
approved_core,未,8
approved_core,申,8
approved_core,酉,8
approved_core,戌,8
approved_core,亥,8
approved_core,木,8
approved_core,火,8
approved_core,金,8
approved_core,水,8
approved_core,土,7
approved_core,地支六合,6
approved_core,地支六冲,6
approved_core,相冲,6
approved_core,地支六害,6
approved_core,相害,6
approved_core,相生,5
approved_core,相克,5
approved_core,天干五合,5
approved_core,五虎遁,5
approved_core,月干,5
approved_core,寅月,5
approved_core,五鼠遁,5
approved_core,时干,5
approved_core,子时,5
approved_core,地支三合,4
approved_core,成局候选,4
approved_core,地支三会,4
approved_core,方局候选,4
approved_core,calculation,4
approved_core,月令,3
approved_core,甲己,2
approved_core,乙庚,2
approved_core,丙辛,2
approved_core,丁壬,2
approved_core,戊癸,2
approved_core,甲木,2
approved_core,乙木,2
approved_core,丙火,2
approved_core,丁火,2
approved_core,戊土,2
approved_core,己土,2
approved_core,庚金,2
approved_core,辛金,2
approved_core,壬水,2
approved_core,癸水,2
approved_core,旺衰,2
approved_core,格局,2
approved_core,提纲,2
approved_core,用神,2
approved_core,立春,1
approved_core,惊蛰,1
approved_core,清明,1
approved_core,立夏,1
approved_core,芒种,1
approved_core,小暑,1
approved_core,立秋,1
approved_core,白露,1
approved_core,寒露,1
approved_core,立冬,1
approved_core,大雪,1
approved_core,小寒,1
approved_core,五行相生,1
approved_core,五行相克,1
approved_core,十神必须以日干为参照,1
approved_core,interpretation,1
approved_core,合不等于化,1
approved_core,temporal,1
approved_core,时间层级顺序,1
approved_core,shensha,1
approved_core,神煞为辅助事实,1
approved_core,节气边界必须使用精确时间,1
approved_core,uncertainty,1
approved_core,临界命盘并列,1
approved_core,rag,1
approved_core,引用必须可追溯,1
approved_core,report,1
approved_core,非确定性措辞,1
approved_core,通天论,1
approved_core,三元,1
approved_core,干支,1
approved_core,地支论,1
approved_core,冲,1
approved_core,刑害,1
approved_core,形象论,1
approved_core,形象,1
approved_core,成象,1
approved_core,成形,1
approved_core,方局论,1
approved_core,方局,1
approved_core,三会,1
approved_core,三合,1
approved_core,格局论,1
approved_core,官杀,1
approved_core,伤官见官,1
approved_core,从化论真,1
approved_core,从格,1
approved_core,化气,1
approved_core,真从,1
approved_core,岁运论,1
approved_core,大运,1
approved_core,流年,1
approved_core,冲战,1
approved_core,和好,1
approved_core,体用论,1
approved_core,体用,1
approved_core,衰旺论,1
approved_core,扶抑,1
approved_core,中和论,1
approved_core,中和,1
approved_core,寒暖论,1
approved_core,寒暖,1
approved_core,燥湿,1
approved_core,调候,1
approved_core,月令论,1
approved_core,人元,1
approved_core,通隔论,1
approved_core,通关,1
approved_core,阻隔,1
approved_core,刑冲,1
approved_core,清浊论,1
approved_core,清浊,1
approved_core,真假论,1
approved_core,真假,1
approved_core,真神,1
approved_core,战合论,1
approved_core,战,1
approved_core,合,1
approved_core,喜忌,1
approved_core,闲神论,1
approved_core,闲神,1
approved_core,喜神,1
approved_core,忌神,1
qa_explanations,刑冲合害,3369
qa_explanations,基础概念,3314
qa_explanations,天干,3225
qa_explanations,五行,1377
qa_explanations,用神,1253
qa_explanations,格局,1231
qa_explanations,十神,1149
qa_explanations,地支,835
qa_explanations,月令,625
qa_explanations,旺衰,511
qa_explanations,综合命理,310
qa_explanations,财务,205
qa_explanations,事业,187
qa_explanations,神煞,172
qa_explanations,健康,161
qa_explanations,婚恋,78
qa_explanations,大运,30
qa_explanations,历史,23
qa_explanations,藏干,21
qa_explanations,流年流月流日,17
qa_explanations,纳音,9
benchmark_case_qa,婚姻感情,55
benchmark_case_qa,事业职业,44
benchmark_case_qa,六亲子女,41
benchmark_case_qa,时间事件,41
benchmark_case_qa,健康,25
benchmark_case_qa,财富,21
benchmark_case_qa,性格外貌,19
benchmark_case_qa,学业,16
benchmark_case_qa,综合命例,13
benchmark_case_qa,官非灾劫,6
qa_quarantine,财务,1091
qa_quarantine,基础概念,986
qa_quarantine,刑冲合害,928
qa_quarantine,天干,560
qa_quarantine,十神,554
qa_quarantine,格局,381
qa_quarantine,五行,343
qa_quarantine,健康,241
qa_quarantine,用神,211
qa_quarantine,旺衰,202
qa_quarantine,地支,139
qa_quarantine,事业,117
qa_quarantine,月令,85
qa_quarantine,神煞,49
qa_quarantine,婚恋,37
qa_quarantine,综合命理,22
qa_quarantine,大运,9
qa_quarantine,流年流月流日,5
qa_quarantine,藏干,4
low_trust_synthetic_reasoning,刑冲合害,419
low_trust_synthetic_reasoning,基础概念,418
low_trust_synthetic_reasoning,五行,344
